"Year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
1982,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1983,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1985,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1986,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1987,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1989,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1990,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1991,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1993,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1994,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1995,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1996,-1,24.8417926522141,74.4213317154401,185.369581432918,209.088831238954,351.22525348274,591.389256527657,810.632728219168,764.942338400934,1219.73848105078,1565.21685797781,-1,1611.75114769621,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1997,5.78655002425681,16.1233427733148,35.3422171406406,69.5293134450079,121.150717773262,183.94594485299,271.718075158057,482.123275046496,723.198065462959,965.030628501343,1160.85300086916,1396.27967795341,1851.49230010138,1423.15816712676,3306.09781596242,3650.43245616793,1949.17853467452,1318.80300088536,-1,-1,-1,-1,-1
1998,12.4359557099478,47.1935973653203,83.7113653277715,123.701647674306,190.337244327402,246.534580484169,473.417397239857,793.653740100201,1042.60583548384,1148.39654536419,1324.80722783643,1852.01145739129,2215.60816164425,1135.38600157369,2568.81077656838,-1,-1,-1,-1,-1,-1,-1,-1
1999,9.90084314500231,45.1394985772967,90.6807104859211,130.615093174461,196.267552339727,326.420337420519,393.57356112938,510.169081923321,866.054670067696,992.504760121073,1014.54757649462,895.479277645407,1668.85423238173,1690.60438177123,3433.56362713288,3600.04474190324,8473.64504251796,838.066438621483,-1,1358.88294187821,-1,-1,6588.93917873935
2000,17.722418336926,26.7716230206323,67.7385199064445,114.94247798859,211.096236774162,322.082492418343,430.242236491803,506.089539521369,653.310745873916,766.498120652204,1200.80003827152,1229.84013524956,1394.36694925463,1825.26497859477,1741.03191884197,-1,778.25797838391,-1,-1,1917.2936575506,-1,-1,-1
2001,16.2860169437797,43.3685078300442,98.768304715878,202.545888735154,311.367804240495,336.450170132845,619.608293163828,519.236909513967,964.031624460401,1045.60837283757,2536.47316026789,2309.58625203739,2345.35860630544,1687.31858620342,5067.07959655486,6955.805664534,1385.56770711954,-1,-1,-1,-1,-1,-1
2002,18.0248380494922,51.2479073869882,121.241681510214,294.724417989813,389.249551064289,451.786199230003,598.436145559172,791.63671123908,944.697836367057,1721.63733907479,1709.01588919157,2870.9693973426,1679.82010031619,1603.19820859022,2836.7811366092,5182.88776224747,-1,-1,3313.55964687659,-1,-1,-1,-1
2003,16.7770430431815,35.1831063393317,75.5270460075018,124.304795961287,218.947429936909,402.123723267409,722.384183964908,700.42515802532,1048.022324242,1276.82706809647,1161.24133327119,1773.19614498725,1689.41403411528,2678.18714298862,2935.16869615643,1209.96154133128,-1,-1,-1,-1,-1,-1,-1
2004,28.1972151519714,67.0476396284098,65.6357557482876,148.998223389294,264.457266380192,400.02954530816,659.009080037376,733.518315916231,933.949008676282,1012.27455665256,1985.68325706237,1422.90597077472,1692.97527754038,2067.82320743132,2001.63831380215,4597.69581021389,5511.33097881369,-1,-1,-1,-1,-1,-1
2005,43.9575466004398,30.6552024863677,88.2739736960973,147.627909309071,249.82026768085,462.740235801995,762.523765582552,838.938486249226,1209.70469353551,1336.41076991975,1428.77207741483,1714.1822923809,2022.42217562465,1657.1098574511,2567.87655993309,3387.85627066746,2709.52475401237,-1,4752.71036215875,-1,-1,-1,-1
2006,16.6355378700325,36.1409644372343,85.2441385463551,129.106381274036,212.760924975446,383.080987689125,527.455469874509,1061.40079708777,898.703477096711,810.058003520003,1278.63858638697,1116.14503128825,1389.30480817775,1789.17760650525,1841.43269527871,2420.64725664749,5657.07073052499,2738.64238495462,1756.92254249007,-1,-1,-1,-1
2007,17.6298555555103,49.8381905212806,71.0971721882082,150.070585560566,226.519210292664,352.93741969729,528.292845466457,1214.64857569506,968.549153406385,1625.09933401673,1825.27874804092,1937.65095284176,2824.16824387603,1895.78708949205,3193.56243418301,3439.39183363513,2722.02986381164,2722.02986381164,1782.63837167505,-1,-1,-1,-1
2008,17.454667845778,51.6134657397044,67.1784606808805,160.468545507917,316.760869048828,480.991002097049,717.939783286691,888.835423279773,1377.12501321273,1550.48314470287,2229.9857384727,2563.80120211472,2700.83348196641,1725.76105867618,2585.4166959544,3111.54246636914,1644.01111734442,2709.15642748674,3290.45985704012,-1,-1,-1,-1
2009,24.263677770509,42.0820726469267,80.0352252671927,116.404159388029,148.869986909692,264.910940696925,440.32474093568,694.169421308413,1354.52441179439,1349.8777716695,1781.94497274892,2640.38050483418,3595.55769395425,2615.38682085428,2067.50069990595,3365.41899208763,3358.67290659743,1775.16757652452,-1,-1,-1,2194.30492626352,-1
2010,17.5689594413609,45.3256947559147,87.9176625492347,122.432595753739,180.780601155313,274.346201687444,753.980490682466,682.953373069877,1250.13589419296,1224.07129569268,1544.97081486232,1072.8644283512,1481.01521397806,2687.01436553653,2866.57485047919,2120.46505976777,3789.90541409513,-1,-1,-1,-1,-1,-1
2011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2012,22.3470595780896,61.4970333797136,115.12669983371,158.902252329525,225.968702752059,333.975657375169,478.277216036479,1209.6808628545,716.423964462345,1562.36873691015,1373.12697618056,1644.79092430365,2272.77800517589,2277.31108554442,3607.66257765895,2224.78354098787,6148.89380629255,7571.33919136319,2083.20536897872,3988.66346860759,-1,-1,-1
2013,28.8876046909337,52.2680744337617,167.128354866103,281.137790812192,248.291210469747,450.940026526868,532.313010953408,990.864216400293,1192.12385369341,1604.92108991596,1697.02239073784,1750.29585774399,2980.19850783777,2428.79844615997,2184.64122250555,4553.06014636895,4125.57098413702,-1,5446.66183097935,-1,4848.39058395168,-1,-1
2014,42.0504933976027,36.4163844097931,102.571366828202,186.42514806766,305.593191353771,340.548939302087,570.362221316381,862.909788319913,1133.55194741958,1641.91003724287,1362.43343260262,2168.2531922739,2192.81164241878,3336.5236463843,-1,3377.33740402455,2712.69533492841,8709.7625915896,-1,-1,3377.33740402455,-1,-1
2015,4.3989030653296,32.6546494866264,60.230038942188,117.96677949055,202.816915840969,369.088018373928,473.350509626515,609.041277266059,676.700946455504,1256.10993529156,1612.53707790307,1899.72205601147,2043.35109486645,2360.60783386571,3570.11739872301,2570.91383744614,3599.1522567791,7144.96326075514,-1,2205.5926104999,-1,-1,-1
